state,district_name,odop_product_name,odop_gi_tag,min_setup_cost,max_setup_cost,gross_margin_d2c,breakeven_timeline,opportunity_score,why_this_district,page_slug
Maharashtra,Yavatmal,Cotton Ginning and pressing,No,964000000,964000000,45-55%,36-48 months,7,"Yavatmal is India's primary cotton production zone with raw cotton available year-round from local farmers. The district has 37 ODOP-based industrial clusters with 8814 industrial units already operational in cotton ginning. Yarn mills and garment manufacturers in Maharashtra and Gujarat are within 300-500 km, ensuring steady buyer proximity.",cotton-ginning-and-pressing-yavatmal
Manipur,Bishnupur,Moirang Fi Chanbi Fanek,No,350000,2500000,60-75%,10-16 months,,"Bishnupur has a 400+ year tradition of handloom weaving influenced by the Vaishnavite bhakti movement. The district's artisans possess unparalleled mastery of the extra warp-weft technique, and locally available mulberry silk combined with cotton creates the signature softness and lustre of Moirang Phee. The cultural ecosystem and cluster of master weavers make it irreplaceable for authentic production.",moirang-fi-chanbi-fanek-bishnupur
Manipur,Chandel,Turmeric,No,250000,1500000,60-75%,10-16 months,,"Chandel's temperate hill climate, fertile volcanic soil, and elevation of 1000-1500m create ideal conditions for turmeric cultivation with superior curcumin concentration. The district has a 200+ year tradition of turmeric farming integrated into local agriculture and Ayurvedic medicine practices.",turmeric-chandel
Manipur,Churachandpur,Handicrafts - Tribal,No,150000,850000,60-75%,9-16 months,6,"Churachandpur occupies the south-west part of Manipur state with 596 villages across 4,750 sq.km, housing 15+ tribal communities (Thadou, Kuki, Hmar, Gangte, Paite, Mizo, Vaiphei, Simte, Zou, Kom, Chothe, Aimol, Mate, Kabui, Meitei) with centuries-old artisan traditions. Bamboo is abundantly available locally as a raw material, reducing sourcing costs and supporting sustainable production. Buyer markets include Delhi, Bangalore, and Northeast metros seeking authentic tribal products; export demand from Southeast Asia and Europe is growing but underexploited.",handicrafts---tribal-churachandpur
Manipur,Imphal East,Wangkhei Phee,No,150000,500000,50-65%,10-16 months,7,"Imphal East sits in Manipur's handloom heartland with 1850 traditional looms concentrated in Wangkhei Konsam Leikai cluster. Raw materials—mulberry cocoons from local Santhak trees, cotton, natural plant dyes from bark and flowers—are sourced within the district. Proximity to designers and Bollywood creates direct buyer access; Robert Naorem's success proves GI-tagged fabric commands premium pricing in Delhi and Mumbai fashion houses.",wangkhei-phee-imphal-east
Manipur,Imphal West,Toys- Laiphadibi,No,50000,300000,60-75%,10-16 months,6,"Imphal West is the heartland of Laiphadibi doll-making with multigenerational artisans concentrated in neighborhoods around Imphal city. Raw materials—cloth scraps, mud, wood, thread, beads—are abundantly available from local tailors and textile waste streams. Buyer proximity includes domestic demand from schools, gift shops, and cultural tourism in Northeast India, plus growing export interest from ethnic handicraft markets in US and Europe.",toys--laiphadibi-imphal-west
Manipur,Jiribam,Bamboo,No,250000,2500000,60-75%,10-16 months,,"Jiribam district has abundant bamboo forests and a strong tradition of bamboo handicraft passed through generations. The region's skilled artisans combine sustainable harvesting practices with intricate craftsmanship, making it uniquely positioned to produce world-class bamboo products. The district's climatic conditions and soil composition create ideal growing conditions for premium bamboo species suitable for furniture and fine crafts.",bamboo-jiribam
Manipur,Kakching,Rice- Black Chakao,No,500000,3000000,50-65%,12-18 months,,"Kakching's unique soil composition, tropical monsoon climate, and centuries-old cultivation techniques make it naturally suited for Black Chakao Rice. The district's agricultural heritage and farmer knowledge base ensure consistent quality and yield. Local farming communities have preserved traditional seed varieties and sustainable farming practices that enhance the rice's nutritional profile.",rice--black-chakao-kakching
Manipur,Kamjong,King Chilli,No,200000,800000,60-75%,10-16 months,7,"Kamjong's hilly terrain, cool climate, and volcanic soil create ideal conditions for King Chilli cultivation. The district's 123 villages with agriculture-based economy provide abundant raw material supply and existing farmer networks. Proximity to Imphal (55km) and Dimapur provides access to regional markets and export gateways.",king-chilli-kamjong
Manipur,Kangpokpi,Turmeric,No,350000,1200000,50-65%,10-16 months,,"Kangpokpi's hilly terrain, well-drained soil, and subtropical climate create ideal conditions for turmeric cultivation. The district has a long agricultural tradition and consistent rainfall patterns that support year-round spice production with superior curcumin content.",turmeric-kangpokpi
Manipur,Noney,Banana,No,250000,1500000,45-60%,18-24 months,,"Noney district's temperate-tropical climate, rich alluvial soil, and annual rainfall of 2000+ mm create ideal conditions for banana cultivation. The region's geographic isolation and traditional farming practices ensure high-quality fruit with distinctive flavor profiles, making it naturally suited for premium banana production and export.",banana-noney
Manipur,Pherzawl,Ginger,No,250000,1500000,60-75%,9-16 months,8,"Pherzawl sits in Manipur's hill terrain with ideal agro-climatic conditions for ginger cultivation. The district has 2,100 hectares of ginger under organic certification (600 NPOP + 1500 MOVCDNER), making raw material access guaranteed and zero-pesticide. Bulk of India's premium, fiber-free ginger with high gingerol content originates here.",ginger-pherzawl
Manipur,Senapati,Kiwi,No,500000,5000000,60-75%,24-36 months,,"Senapati district's elevation (900-1500m), temperate climate, and rich volcanic soil create ideal conditions for premium kiwi cultivation. The region's abundant rainfall, cool nights, and minimal pest pressure ensure disease-free, high-quality fruit production that commands premium prices in national markets.",kiwi-senapati
Manipur,Tamenglong,Orange - (Tamenglong Mandarin),No,250000,1500000,50-65%,10-16 months,8,"Tamenglong sits at 1,290 m elevation with soil and climate perfectly suited for citrus. Over 40 percent of district land is under orange cultivation with established farmer networks and organic-only production systems already in place. Proximity to Northeast markets and direct buyer access via Imphal reduces middleman layers.",orange---tamenglong-mandarin-tamenglong
Manipur,Tengnoupal,Bamboo,No,125000,850000,50-65%,9-16 months,7,"Tengnoupal sits at the Myanmar border with direct access to bamboo forests covering 61.36% of state forest area (10,687 sq km total). The district has 53 bamboo species and a 382-person artisan base in Kwatha village alone, plus access to raw Usoi shoots from forest collection or Myanmar suppliers. Export markets to Myanmar and regional Indian demand provide immediate buyer access.",bamboo-tengnoupal
Manipur,Thoubal,Pineapple,No,150000,1500000,50-65%,12-18 months,,"Thoubal's tropical climate, high rainfall (1900mm annually), and nutrient-rich alluvial soil create ideal conditions for pineapple cultivation. The district has over 2,000 hectares under pineapple farming with strong farmer networks, making it a natural production hub. Proximity to Imphal market and established cold-chain infrastructure support large-scale commercial operations.",pineapple-thoubal
Manipur,Ukhrul,Kachai Lemon,No,300000,2000000,52-68%,18-24 months,,"Ukhrul's high-altitude terrain (800-1500m), cool tropical climate, and nutrient-rich volcanic soil create perfect conditions for Kachai lemon cultivation with superior acidity and aroma. The fruit thrives in the region's unique microclimatic conditions, which cannot be replicated elsewhere, giving it distinct organoleptic properties recognized globally.",kachai-lemon-ukhrul
Meghalaya,East Garo Hills,Pineapple,No,250000,1500000,52-68%,18-24 months,,"East Garo Hills' tropical climate, high rainfall (250-300cm annually), and well-drained laterite soil create ideal conditions for pineapple cultivation. The district's elevation (200-1500m) and cool nights enhance fruit sugar concentration and flavor complexity, while established farming communities have generations of cultivation expertise.",pineapple-east-garo-hills
Meghalaya,East Jaintia Hills,Turmeric,No,250000,1200000,50-65%,10-16 months,8,"East Jaintia Hills is part of the Jaintia Hills plateau region with acidic volcanic soils ideal for high-quality turmeric. The district sits within the broader Jaintia Hills cluster that produces 58% of Meghalaya's turmeric across 2577+ hectares, with 1000+ cultivators supplying raw material locally. Direct proximity to raw material sources, established market linkages through Nongbah-Shangpung belt, and existing buyer networks in spice trade hubs (Kolkata, Delhi) make entry feasible.",turmeric-east-jaintia-hills
Meghalaya,East Khasi Hills,Khasi Mandarin (Orange),No,250000,1200000,45-60%,14-18 months,7,"East Khasi Hills is the native origin zone for Khasi Mandarin, with altitude (900-1500m) and monsoon climate creating ideal citric acid (0.6-0.7%) and taste conditions. Raw material sourced directly from organized farmer cooperatives and local producers. Established export pipeline to Dubai (20 MT last year) and Gulf states proves market validation.",khasi-mandarin-orange-east-khasi-hills
Meghalaya,Eastern West Khasi Hills,Kiwi,No,350000,2500000,60-75%,14-18 months,7,"Eastern West Khasi Hills sits at 1,200–1,800m elevation with consistent rainfall (300cm annually) and well-drained volcanic soil—ideal kiwi terroir. The district is one of India's only three kiwi-producing regions (alongside Himachal Pradesh and Uttarakhand), with direct supply chains to metro buyers in Delhi, Bengaluru, and Mumbai within 36–48 hours via NH-40 and NH-104.",kiwi-eastern-west-khasi-hills
Meghalaya,North Garo Hills,Banana,No,180000,450000,50-65%,10-16 months,6,"North Garo Hills sits in the Western Meghalaya region with consistent monsoon rainfall ideal for banana cultivation. Raw materials—vermicompost, cattle manure, farmyard compost—are locally available from surrounding agriculture villages. A documented 2023-2024 study of 50 organic farmers proved the economic viability of this approach.",banana-north-garo-hills
Meghalaya,Ri-Bhoi,Pineapple,No,350000,1200000,60-75%,12-18 months,,"Ri-Bhoi's high rainfall (above 200 cm annually), acidic volcanic soil, and humid subtropical climate create ideal conditions for pineapple cultivation. Small-scale farmers have perfected traditional intercropping methods that enhance flavor. The district's elevation and microclimate reduce pest pressure, making organic certification easier and commanding premium prices in national and export markets.",pineapple-ri-bhoi
Meghalaya,South Garo Hills,Jackfruit,No,350000,1500000,60-75%,10-16 months,,"South Garo Hills has ideal tropical climate with high rainfall and fertile volcanic soil perfect for jackfruit cultivation. The region's traditional farming practices and established jackfruit orchards spanning over 2,500 hectares make it naturally suited for jackfruit processing and value-added products. Local farmer networks and cooperative structures enable reliable sourcing at competitive prices.",jackfruit-south-garo-hills
Meghalaya,South West Garo Hills,Pineapple,No,180000,500000,50-65%,12-18 months,6,"South West Garo Hills has ideal tropical climate with high rainfall (2500-3000mm annually) and well-draining hilly soil perfect for pineapple. Raw material is locally abundant with established farming networks in Ampati and surrounding areas. Proximity to Bangladesh border opens export corridors and regional markets in Assam, Tripura, and Meghalaya towns.",pineapple-south-west-garo-hills
Meghalaya,South West Khasi Hills,Honey,No,180000,850000,50-65%,10-16 months,7,"The district sits at 800-1500m elevation with dense forest cover across Mawkyrwat, Nongstoin, and Khliehriat blocks, providing year-round wildflower forage for Apis mellifera and stingless bee species. Raw material—live bee colonies and flowering plants—is abundant within 5km of villages. Local beekeepers and framers form the artisan base, with minimal competition in organized honey markets.",honey-south-west-khasi-hills
Meghalaya,West Garo Hills,Cashew,No,350000,1200000,52-68%,10-16 months,7,"West Garo Hills has agro-climatic conditions suitable for cashew cultivation, with access to raw cashew nuts from surrounding agricultural pockets. The district is part of Meghalaya's organic farming movement which commands premium prices in domestic and export markets. Proximity to Assam and other Northeast states provides both raw material supply chains and buyer networks.",cashew-west-garo-hills
Meghalaya,West Jaintia Hills,Turmeric (Lakadong),No,250000,2500000,60-75%,10-16 months,8,"West Jaintia Hills' cool, humid climate and mineral-rich soil create ideal conditions for high-curcumin turmeric cultivation. The district has 1,898 hectares under turmeric cultivation with 13,000+ farmer ecosystem and 87% of production concentrated in Laskein Block, creating integrated supply chains. Proximity to Bangladesh and Southeast Asian export routes makes logistics efficient.",turmeric-lakadong-west-jaintia-hills
Meghalaya,West Khasi Hills,Cane & Bamboo Handicrafts (Mats),No,150000,500000,60-75%,10-16 months,6,"West Khasi Hills has abundant indigenous bamboo and cane forests with easy local sourcing. The district hosts three active artisan clusters in Mairang, Lyrnai village, and Tyrchang village with trained weavers. Black clay from Sung Valley provides additional raw material diversity, and proximity to Northeast India's growing eco-conscious market gives direct buyer access.",cane-bamboo-handicrafts-mats-west-khasi-hills
Mizoram,Aizawl,Dragon Fruit,No,250000,2000000,50-65%,18-24 months,8,"Aizawl's tropical climate and high rainfall create ideal conditions for dragon fruit cultivation. The district's 89.4% literacy rate supports modern farming practices, and established exporters like Long Yi Sheng demonstrate proven market access to China and Vietnam.",dragon-fruit-aizawl
Mizoram,Champhai,Mizo Chilli,No,200000,800000,60-75%,10-16 months,8,"Champhai sits in Mizoram's humid tropical zone with 2,563 mm annual rainfall spread over 6-8 months — ideal for the Mizoram Bird's Eye Chilli variety. Acidic soil (pH 4.5-5.5) and the region's established farming culture make raw material access stable. The GI tag opens direct export channels to Southeast Asia and international specialty markets.",mizo-chilli-champhai
Mizoram,Hnahthial,Mizo Chilli,No,150000,500000,60-75%,10-16 months,,"Hnahthial's high-altitude, fertile highlands provide ideal agro-climatic conditions for cultivating intensely spicy chillies with distinctive flavor profiles. The district has centuries-old traditional farming heritage deeply embedded in Mizo cultural cuisine, making it the authentic source and custodian of this heirloom variety.",mizo-chilli-hnahthial
Mizoram,Khawzawl,Pineapple,No,250000,1500000,50-65%,10-16 months,7,"Khawzawl lies in Mizoram's agriculturally productive zone with tropical climate ideal for pineapple cultivation. The district has established supply chains to Nepal, Maldives, UAE, Saudi Arabia, and other export markets. Raw material proximity and existing exporter networks reduce initial sourcing friction.",pineapple-khawzawl
Mizoram,Kolasib,Dragon Fruit,No,250000,2500000,50-65%,18-24 months,,"Kolasib's high altitude tropical climate (900-1200m elevation), consistent rainfall (200+ inches annually), and well-drained soil create ideal growing conditions for dragon fruit. The district's commitment to organic farming and minimal pesticide use aligns with premium market positioning. Local farmers are rapidly adopting this high-value crop as an alternative to traditional agriculture.",dragon-fruit-kolasib
Mizoram,Lawngtlai,Mizo Chilli,No,180000,850000,60-75%,10-16 months,7,"Lawngtlai sits in Mizoram's southernmost zone with volcanic, nutrient-rich soils ideal for chili cultivation. The district's cool, humid climate and 2,557 sq km geographic area create microclimates that produce high-pungency Bird's Eye varieties. Traditional Mizo farming methods and established grower networks make raw material access direct and cost-effective.",mizo-chilli-lawngtlai
Mizoram,Lunglei,Banana,No,250000,1200000,45-60%,10-16 months,7,"Lunglei's tropical climate, abundant rainfall, and fertile soil in the Chittagong Hill Tracts region make it ideal for banana cultivation. The district has established artisan networks and direct access to suppliers like Baghel Agro Industries, one of India's top organic banana manufacturers. Proximity to Northeast India markets and growing demand for organic produce across metros creates consistent buyer access.",banana-lunglei
Mizoram,Mamit,Turmeric,No,150000,750000,60-75%,10-16 months,,"Mamit's high-altitude terrain, cool monsoon climate, and well-drained volcanic soil create ideal conditions for turmeric cultivation with superior curcumin content. The district's traditional farming practices and minimal pesticide use produce premium-quality organic turmeric that commands premium prices in domestic and export markets.",turmeric-mamit
Mizoram,Saitual,Ginger,No,150000,750000,50-65%,10-16 months,8,"Saitual's cool, monsoon-fed hilly terrain at 900-1200m elevation creates ideal ginger-growing conditions — humidity, soil pH, and drainage match global ginger-producing zones like Kerala and Himachal. Farmers have 40+ years of cultivation experience. Proximity to Aizawl (30km, Mizoram's largest market hub) and direct road connectivity to Assam tea & spice buyers eliminates middleman costs.",ginger-saitual
Mizoram,Serchhip,Banana,No,250000,1500000,50-65%,18-24 months,,"Serchhip's elevation (900-1200m), consistent rainfall, and nutrient-rich volcanic soil create ideal growing conditions for high-quality bananas. The district's cool climate prevents pest proliferation and extends shelf life. Local farming communities have generations of expertise in managing banana cultivation in hill terrain.",banana-serchhip
Mizoram,Siaha,Chilli - Mizo,No,250000,1200000,60-75%,10-16 months,8,"Siaha sits in Mizoram's fertile northeast landscape where potash-rich soils and the traditional Jhum farming method create ideal conditions for bird's eye chilli cultivation. Raw material proximity is absolute — chilli farms ring the district. Government installed processing, solar drying, and cold storage infrastructure post-GI recognition, making value-added production feasible locally.",chilli---mizo-siaha
Nagaland,Chumukedima,Pineapple,No,350000,1200000,50-65%,14-18 months,,"Chumukedima's tropical monsoon climate, well-drained volcanic soil, and altitude of 600-800m create ideal conditions for pineapple cultivation. The district's traditional farming community has decades of experience in fruit cultivation, and its proximity to Kohima provides strong market access to Nagaland and adjacent states.",pineapple-chumukedima
Nagaland,Dimapur,Pineapple,No,500000,2500000,50-65%,18-24 months,,"Dimapur's elevation (300-500m), tropical monsoon climate, and volcanic soil create ideal conditions for pineapple cultivation with higher sugar content and lower disease incidence. The district's established farming community and proximity to APEDA-certified export channels make it uniquely positioned for value-added pineapple products and fresh exports.",pineapple-dimapur
Nagaland,Kiphire,Kholar,No,180000,650000,50-65%,10-16 months,6,"Kiphire's 1255 sq km of fertile terrain with cool highland climate creates ideal conditions for kidney bean cultivation. The district's trusted organic farming network supplies raw material directly from village cooperatives practicing crop rotation and natural fertilizer methods. Buyer proximity to Nagaland's urban centers (Dimapur, Kohima) and access to MARCOFED's NagaBazaar e-commerce platform reduce distribution friction for new producers.",kholar-kiphire
Nagaland,Kohima,Pickles,No,350000,1200000,60-75%,10-16 months,,"Kohima's strategic location in the Northeast provides access to rare indigenous spices, aromatic herbs, and traditional fermentation knowledge passed through generations. The district's food culture and Hornbill Festival tourism create natural demand for authentic, handcrafted pickles. Cool climate and altitude favor preservation and extended shelf life.",pickles-kohima
Nagaland,Longleng,Ginger,No,350000,1200000,50-65%,9-16 months,7,Longleng's highland terrain and cool climate create ideal conditions for ginger cultivation. The district has established organic farming practices and direct access to raw ginger from 63 villages across 3 blocks. Proximity to food processing hubs in Assam and pharmaceutical buyers in North India reduces logistics costs.,ginger-longleng
Nagaland,Mokokchung,Coffee,No,1500000,5000000,60-75%,12-18 months,,"Mokokchung's elevation of 1,400-1,600m, cool monsoon climate, and nutrient-rich soil create ideal conditions for specialty arabica coffee cultivation. The region's strong agricultural tradition and sustainable farming practices ensure consistent quality and environmental stewardship, differentiating Mokokchung coffee in premium global markets.",coffee-mokokchung
Nagaland,Mon,Large Cardamom,No,250000,1200000,50-65%,10-16 months,8,"Mon sits in Nagaland's cardamom belt where altitude, humid climate, and forest cover create ideal growing conditions. Raw material is produced locally across 131 villages across 8 blocks, with established farmer networks supplying consistent quality. Export infrastructure exists: direct routes to Saudi Arabia, Europe, and North America make this a natural processing and value-addition hub.",large-cardamom-mon
Nagaland,Niuland,Banana,No,275000,1200000,50-65%,10-16 months,6,Niuland's fertile valley ecosystem and cool mountain climate create ideal conditions for banana cultivation with distinct flavor profiles. Raw material sourcing is zero-distance — farmers are within 5-15km of processing units. High literacy rate (93.62%) means founders can easily navigate government registrations and export compliance.,banana-niuland
Nagaland,Noklak,Millet,No,250000,1500000,50-65%,10-16 months,7,"Noklak district's terrain and climate are naturally suited to millet cultivation — the crop thrives in marginal rainfall and poor soil where other cereals fail. The district has 42 villages across 3 blocks with established farming communities that have cultivated millets for generations. Direct proximity to East Asia, North America, and European export markets via Nagaland ports creates immediate buyer access.",millet-noklak
Nagaland,Peren,Naga Mircha,No,200000,800000,60-75%,10-16 months,8,"Peren district, specifically the Zeliangrong region, is the original home of Naga Mircha cultivation with 150 households actively farming it in Seiyhama village. The district's soil, water content, and climate are ideal for the crop, and 45 km proximity to Kohima provides access to state and national markets. Government focus on the 100-hectare Botsa block cluster ensures supply chain support and buyer networks.",naga-mircha-peren
Nagaland,Phek,Kiwi,No,500000,2500000,60-75%,24-36 months,,"Phek's high-altitude terrain (1,500-2,000m), cool climate, and well-drained volcanic soils create ideal conditions for kiwi cultivation. The district's agricultural heritage and farmer cooperatives provide established supply-chain networks. Growing demand from Northeast India's health-conscious urban centers offers strong market proximity.",kiwi-phek
Nagaland,Shamator,Kholar (Kidney Beans),No,150000,450000,50-65%,10-16 months,8,"Shamator's 469 sq km high-hill terrain provides natural growing conditions for Kholar kidney beans with unique nutrient density and aroma. The district has established export channels to 12+ countries across North America, Europe, and Asia-Pacific, with a documented local production base of 37 villages. Raw materials (seeds, soil) are available locally at minimal cost due to farming prevalence.",kholar-kidney-beans-shamator
Nagaland,Tseminyu,Turmeric,No,800000,3500000,60-75%,10-16 months,,"Tseminyu district's fertile volcanic hill soils, temperate climate with optimal monsoon patterns, and altitude between 900-1500m create ideal conditions for turmeric cultivation with superior curcumin levels. The region's traditional agricultural practices and minimal chemical intervention preserve the spice's natural potency and aroma, making it distinctly prized in both domestic and international markets.",turmeric-tseminyu
Nagaland,Tuensang,Kholar,No,180000,650000,52-65%,10-16 months,6,"Tuensang sits at 1500–2000m altitude with stony soil naturally suited to kholar cultivation. The district hosts four main production clusters (Sotokur, Sangsangyu, Chingmei, New Chingmei) with proven seed multiplication rates—Sotokur achieves 15 tins output per 1 tin seed input. Raw material access is immediate through local seed networks and FBMP training infrastructure.",kholar-tuensang
Nagaland,Wokha,Banana and Banana Products,No,180000,850000,52-68%,10-16 months,7,"Wokha's subtropical climate and well-established 864-hectare banana cultivation base provide direct access to 6,000 farmers and raw material suppliers. The district has zero middleman distance to source fresh bananas and plant residue. Buyer access spans Amazon Karigar, Flipkart Samarth, and ONDC platforms plus direct institutional channels to hotels and food processing units across northeastern India.",banana-and-banana-products-wokha
Nagaland,Zunheboto,Soyabean,No,250000,1500000,45-60%,12-18 months,,"Zunheboto's high-altitude terrain, moderate rainfall (1500-2000mm annually), and nitrogen-rich volcanic soil are ideal for soybean cultivation. The district's strong agricultural tradition and growing farmer awareness make it a natural fit for scaling high-protein crop production that supports both local nutrition and income generation.",soyabean-zunheboto
Odisha,Angul,Terracotta,No,150000,750000,60-75%,10-16 months,,"Angul district has rich deposits of high-quality clay along the Brahmani river basin, supporting a multi-generational tradition of terracotta artisans primarily in villages like Nayagaon, Talcher, and Chhendipada. The region's proximity to tribal communities and rural populations ensures authentic design vocabulary and sustainable raw material sourcing. Local artisan clusters have developed deep expertise in both decorative and utility terracotta products.",terracotta-angul
Odisha,Balasore,Marine Products,No,8000000,25000000,45-60%,10-16 months,9,Balasore sits on Odisha's northern coastline with direct access to rich fishing grounds and a 200+ year seafood processing tradition. Raw material sourcing is integrated — most processors own or partner with fishing vessels and landing centers. Proximity to Kolkata and Chattogram markets (150-250 km) plus direct port access at Paradip (120 km away) makes export logistics cost-efficient.,marine-products-balasore
Odisha,Bargarh,Handloom,No,200000,1500000,50-65%,10-16 months,7,"Bargarh sits at the convergence of traditional weaving skill (38,298 registered weavers across 48 co-operative societies) and steady raw material supply from regional cotton yarn merchants. The cluster has 18,164 household production units and a established logistics hub, with proximity to pan-India wholesale textile markets in Gujarat and Tamil Nadu. Buyers from home furnishing, apparel retail, and export channels actively source from Bargarh's organized co-operatives and independent producers.",handloom-bargarh
Odisha,Bhadrak,Rice,No,850000,3500000,45-60%,12-18 months,7,"Bhadrak lies in the fertile Odisha plains with alluvial soil ideal for rice cultivation. The district achieved 2,505 kg/ha yield in 2015-16, significantly above the state average of 1,491 kg/ha, making it a natural hub for quality rice production. Direct access to paddy procurement from over 300,000 farming households in the district.",rice-bhadrak
Odisha,Bolangir,Cotton,No,500000,2500000,50-65%,12-18 months,,Bolangir district offers ideal agro-climatic conditions with black and laterite soil suited for cotton cultivation. The region has a long tradition of cotton farming with established supply chains and farmer networks. Sustainable practices here ensure premium quality cotton that commands higher prices in the textile industry.,cotton-bolangir
Odisha,Boudh,Berhampur Patta (Phoda Kumbha) Saree,No,150000,500000,60-75%,10-16 months,6,Boudh cluster (Berhampur town) has 400+ registered weavers producing GI-tagged Phoda Kumbha sarees using silk from Karnataka and local cotton. Sarees are woven on pit looms by two-person teams and sold primarily to North Indian wedding markets and heritage collectors. The product has continuous 200-year weaving tradition embedded in local artisan families.,berhampur-patta-phoda-kumbha-saree-boudh
Odisha,Cuttack,Silver Filigree (Tarakashi Art),No,150000,500000,60-75%,9-16 months,8,"Cuttack has 500 artisan families concentrated in Mangalabag, Naya Bazaar, Baniasahi, and Nayasadak clusters with direct access to pure silver suppliers and established buyer networks for Durga Puja decorations (₹40 crore annual market). The city is 6 km from Bijatpur railway station and well-connected via NH-16, with 143 registered showrooms already operational as proof of demand infrastructure.",silver-filigree-tarakashi-art-cuttack
Odisha,Deogarh,Watermelon,No,500000,2500000,45-60%,12-18 months,,"Deogarh's alluvial plains and monsoon-fed water resources create ideal growing conditions for watermelons with high sugar content. The region's warm summers and well-drained agricultural land support consistent, high-quality production. Local farming expertise and established supply chains to eastern markets make watermelon cultivation a natural fit.",watermelon-deogarh
Odisha,Dhenkanal,Handicrafts,No,200000,1500000,60-75%,10-16 months,7,"Dhenkanal sits at Odisha's geographic center with 1208 villages and established artisan clusters. Teak wood, brass, and decorative materials are locally sourced or easily accessible via the woodlands and supplier networks in the district. The artisan base spans documented tribal jewellery makers, wooden carvers, and brass workers with proven export-ready quality.",handicrafts-dhenkanal
Odisha,Gajapati,Cashew Kernel,No,500000,2500000,50-65%,10-16 months,,"Gajapati district has ideal agro-climatic conditions with consistent rainfall and well-drained laterite soils suited for cashew cultivation. The district has over 45,000 hectares under cashew farming with established supply chains and traditional processing expertise passed through generations. Proximity to port infrastructure at Visakhapatnam (Andhra Pradesh) facilitates seamless export of processed kernels globally.",cashew-kernel-gajapati
Odisha,Ganjam,Handloom,No,300000,2000000,60-75%,10-18 months,,"Ganjam has a legacy of skilled weavers spanning generations with established handloom clusters like Berhampur. The district's access to natural cotton fibers, proximity to raw material suppliers in coastal Odisha, and strong artisan networks make it ideal for handloom production. Local cultural motifs and heritage designs command premium pricing in domestic and international markets.",handloom-ganjam
Odisha,Jagatsinghpur,Rice,No,800000,5000000,50-65%,12-18 months,,"Jagatsinghpur's fertile deltaic soil formed by the Mahanadi river, combined with the district's tropical monsoon climate and abundant water resources, creates ideal conditions for cultivating premium rice varieties. The region's unique soil chemistry and centuries-old rice farming tradition produce the distinctive Kala Jeera rice variety that commands premium prices in domestic and international markets.",rice-jagatsinghpur
Odisha,Jajpur,Stone Carving,No,150000,1500000,60-75%,10-16 months,,"Jajpur has a centuries-old tradition of stone carving rooted in its proximity to Jagannath temple culture and historical temple construction. The district's abundant local stone quarries and hereditary artisan communities make it a natural hub for high-quality sculptural work. The region's deep connection to mythological narratives and classical Odia architecture ensures authentic, culturally resonant designs.",stone-carving-jajpur
Odisha,Jharsuguda,Aluminium Ingot,No,5000000,25000000,28-40%,18-24 months,8,"Jharsuguda is located in central Odisha with direct proximity to bauxite mining areas in the state and abundant hydroelectric power supply. Vedanta Aluminium's 2,421 thousand tonne annual production (FY25) creates a mature supplier ecosystem and established buyer networks. The district's Jharsuguda Special Economic Zone (SEZ) provides infrastructure, tax benefits, and direct access to global export corridors.",aluminium-ingot-jharsuguda
Odisha,Kalahandi,Handicraft (Wood Carving),No,150000,750000,60-75%,10-16 months,,Kalahandi has naturally abundant high-quality teak forests providing superior carving material. The district holds a continuous 5000-year heritage of wood carving mastery passed down through generations of skilled artisans. The region's isolated geography has preserved authentic techniques that command premium prices in national and international markets.,handicraft-wood-carving-kalahandi
Odisha,Kandhamal,Kandhamal Haladi,No,280000,850000,60-75%,10-16 months,8,"Kandhamal's 60% forested, hilly terrain is naturally suited for organic turmeric cultivation. The Gumamaaha Raikhia Haldi Cluster has generations of farmer experience and direct access to premium turmeric rhizomes. Proximity to Bhubaneswar (180 km) and Eastern India's spice markets makes distribution feasible.",kandhamal-haladi-kandhamal
Odisha,Kendrapara,Golden Grass Product,No,150000,500000,60-75%,9-15 months,7,"Golden grass grows abundantly in the riverside villages of Kendrapara district, particularly in 12 clusters where artisans have practiced this craft for over 100 years. The district has 3,000 trained women artisans organized into 300 self-help groups with established supply chains and local buyer networks. Government infrastructure projects are building training centres, worksheds, and roads directly supporting golden grass artisans.",golden-grass-product-kendrapara
Odisha,Kendujhar (Keonjhar),Terracotta,No,150000,800000,60-75%,10-16 months,,"Kendujhar's abundant deposits of fine-quality natural clay and a strong tradition of terracotta artisanship spanning generations make it the ideal hub for terracotta production. The district's skilled artisan communities have perfected traditional hand-molding and firing techniques that create distinctive, high-quality products with cultural authenticity.",terracotta-kendujhar-keonjhar
Odisha,Khurdha,Fish product,No,350000,2500000,50-65%,9-16 months,,"Khurdha benefits from direct access to the Bay of Bengal and established fishing ports in Paradip and coastal villages, ensuring consistent supply of fresh catch. The district has a long tradition of fish processing with existing infrastructure, skilled labor, and proximity to major consumption centers like Bhubaneswar. Government fisheries support and ODOP recognition position it as a hub for value-added fish products.",fish-product-khurdha
Odisha,Khurda,Handicrafts (Stone Carving),No,200000,1500000,58-72%,10-16 months,,Khurda district is home to skilled stone carvers trained through generations in temple art traditions. The proximity to Bhubaneswar and availability of high-quality soapstone and granite deposits make it an ideal hub for stone carving crafts. The district's historical connection to Jagannath Temple architecture sustains demand and expertise.,handicrafts-stone-carving-khurda
